Scheme Name,Net Asset Value
PGIM India Banking and PSU Debt fund - Bonus,13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend,10.2296
PGIM India Banking and PSU Debt fund - Monthly Dividend,10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus,11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend,10.6478
PGIM India Banking and PSU Debt Fund - Regular Dividend,10.2179
PGIM India Banking and PSU Debt fund - Weekly Dividend,10.2735
PGIM India Banking and PSU Debt fund -Growth,20.907
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus,13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus,15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend,11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend,10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend,10.7088
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend,10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth,21.903
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1240.3537
SBI BANKING & PSU FUND - Direct Plan - Growth,2815.9598
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1203.4549
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1237.5975
SBI BANKING & PSU FUND - Regular Paln - Growth,2675.4362
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1220.6094
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1145.1988
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1220.3536
Sundaram Banking & PSU Debt Fund - Direct Growth,11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend,11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend,10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus,11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth,11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend,11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus,11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend,10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend,11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus,18.5955
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.2300
Sundaram Banking and PSU Debt Fund Direct Plan - Growth,37.1711
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.6053
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus,18.5369
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.3550
Sundaram Banking and PSU Debt Fund Regular Plan - Growth,36.7597
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.6575
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1123
Sundaram Banking and PSU Debt Fund Retail Plan - Growth,33.1283
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5616
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment,11.6582
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option ,12.5523
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.5523
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option ,12.3261
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option ,12.3261
Tata Banking & PSU Debt Fund-Direct Plan-Growth,12.5523
Tata Banking & PSU Debt Fund-Regular Plan-Growth,12.3261
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH,1101.2967
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH,1088.7453
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1031.2651
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1104.5066
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1032.3891
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1045.1113
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1024.2543
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1018.9549
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1091.0404
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1025.2627
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1033.7532
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1020.0935
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW,12.1668
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW,16.4413
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option,19.0795
